Organization - Name
Lumino Industries Ltd
"Larsen & Toubro Ltd, Faridabad"
KEC International Ltd
Ishwari Electrical
Power Tech Infra
KCC Buildcon Pvt Ltd
Manas Bajaj
"ACME Cleantech Solutions Pvt Ltd, Gurgaon"
GR Infra Projects Ltd
PSH Techno Engineering Pvt Ltd
Envirocare Infrasolution Pvt. Ltd.
Multi Infrastructure & Engineering Pvt Ltd
Manipal Energy & Infratech Ltd
Ashoka Buildcon Ltd
Amplifi Electrics Limited
BOT Engineering Company Ltd
CG Power & Industrial Solution
Maha Active Engineers (I) Pvt Ltd
Bajel Projects Ltd
Ib Vogt Solar India Pvt Ltd
Skipper Seil Limited
MEC Power Infrastructure Pvt Ltd
SIEMENS LTD THANE
Viviana Powertech Pvt Ltd
InSolare Energy Ltd
Ascent Powertech Pvt Ltd
Powerica Renewable Infra Pvt Ltd
Inergy Infra Pvt Ltd
Sprng Energy Pvt Ltd
Fiza Group
Laser Power & Infra Pvt Ltd
Hartek Power Pvt Ltd
Sterling and Wilson Pvt Ltd
Polycab India Limited
Keshav Enterprises
Axis Energy Group
Southern Switch Gears
Oriana Power Ltd
GMP Systech Engineering Pvt Ltd
TruBoard Partners
Balaji Metacast Industries
EPC Infracon Pvt Ltd
Shivalaya Construction Co. Pvt Ltd
Godrej &  Boyce  Mfg. Co. Ltd
RCC Developers Pvt Ltd
Subham Poles
Avaada Energy
Durga Construction
GE Vernova
SMS India Pvt Ltd
"Siemens Ltd, Thane"
Sachin Electricals Pvt Ltd
Abizer India Innovation Pvt Ltd
"AMPIN Energy Ltd, Delhi"
Klass Corp Solutions Pvt Ltd
BKS Enterprises
Rousant International
DREM GROUP
Central Electricals International Ltd
Manje Company
Innovate Engineering Co Limited
Linxon India Pvt Ltd
AKN Power (India) Pvt Ltd
Mahesh Electrical & Telecom
LC Infra Projects Pvt  Ltd
Sharvari Electricals
Hitachi Energy India Ltd
ESTIM CONSTRUCTION COMPANY LIMITED
MSGI
POWER GLOBE GENERAL TRADING LLC
Serentica Renewable Pvt Ltd
Vensar Construction LLP Ltd
Kalpataru Projects International Ltd
Estim construction
SC Consultancy Services
Sai Trading Partner
Agratas construction Pvt ltd
Srihari Techno Projects Pvt. Ltd.
Mythri Infrastructure and Mining India Private Limited
"Siemens Ltd, Mumbai"
Kintech Synergy (P) Ltd
Sorigin RE Services Pvt Ltd
Om Power Transmission Ltd
Shyam Indus Power Solutions Pvt. Ltd.
"Aditya Birla Renewables Ltd, Gujarat"
VAW Engineering Services
Adani Energy Solutions Ltd
ABI Energy Solutions
"Larsen & Toubro Ltd, WET IC"
"Raghava Constructions, Raghava Constructions (copy)"
Kshema Power and Infrastructure Pvt Ltd
Axis Electrical Components (I) Pvt Ltd
Groma Infrastructure Ltd
Raj Group
"Hyosung T&D India Pvt Ltd, Pune"
Hyosung T&D India Pvt Ltd
NTPC Ltd
Kerala State Electricity Board
Akhandalamani Electricals and Construction
Mahadev Prestressed Products Pvt Ltd
Abhisek Contech (I) Pvt Ltd
M/s Swastika Infra Limited
Nelumbo Technologies Pvt Ltd
Vaibhavi Electricals
ABG Electrical Consultants
Montecarlo Ltd
Bothe Wind Energy
"Shree Samarth Engineering, Gujarat"
Nanu Engineers Pvt Ltd
Winsol Engineers Ltd
Arvensis Energy
PRAKRUTHI ENERGY SOLUTIONS PVT. LTD
Global Fabrication and Galvanizing LLC
Suntech Engi Automation
Ideas Electricals & Engineers Pvt Ltd
"Hitachi Energy, Banglore"
GVPR Engineers Ltd
Squad Synergy Pvt Ltd
Megha Engineering & Infrastructures Ltd
Cleanmax Enviro
"Sarjan Realities Ltd, Pune"
Gaiavolt Green Pvt Ltd
Resolven
"CG Power & Industrial Solution, Gurgaon"
"BNC Power Projects, Noida"
Ghai Buildcon LLP
"Arvensis Energy Pvt Ltd, Hyderabad"
SA Technologie Pvt Ltd
WAAREE Renewable Technologies Ltd
Dasa Infra Systems Pvt Ltd
Purvah Green Power
"GE Vernova, Noida"
Intelligent Group
DOTT SERVICES LTD.
Vikran Engineering & Exim Pvt Ltd
SANMATHI Enterprises
Fourth partner
Amara Raja Power Systems Ltd
V J Enterprises
Vishwa Samudra Engineering Pvt Ltd
KVGGN Synergy Pvt Ltd
JSW Energy Ltd
